year,population_group,facility,coefficient,t_statistic,significance_stars,is_significant,direction,evidence_label,interpretation,model
2019,Women,Golf,0.004,-0.974,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between golf and visits from women.",Fully adjusted fixed-effects model
2020,Women,Golf,0.0,-0.037,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between golf and visits from women.",Fully adjusted fixed-effects model
2021,Women,Golf,-0.012,-1.853,*,True,Negative,Suggestive,"In 2021, golf showed a negative and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Women,Soccer,0.012,-3.107,***,True,Positive,Strong,"In 2019, soccer showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Women,Soccer,0.008,-1.516,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between soccer and visits from women.",Fully adjusted fixed-effects model
2021,Women,Soccer,0.002,-0.221,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between soccer and visits from women.",Fully adjusted fixed-effects model
2019,Women,Memorial,0.007,-2.702,***,True,Positive,Strong,"In 2019, memorial showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Women,Memorial,-0.001,-0.18,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between memorial and visits from women.",Fully adjusted fixed-effects model
2021,Women,Memorial,-0.004,-0.715,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between memorial and visits from women.",Fully adjusted fixed-effects model
2019,Women,Gym,0.005,-1.547,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from women.",Fully adjusted fixed-effects model
2020,Women,Gym,0.012,-2.294,**,True,Positive,Moderate,"In 2020, gym showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Women,Gym,0.011,-1.323,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between gym and visits from women.",Fully adjusted fixed-effects model
2019,Women,Shade Area,-0.005,-1.588,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between shade area and visits from women.",Fully adjusted fixed-effects model
2020,Women,Shade Area,-0.002,-0.41,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between shade area and visits from women.",Fully adjusted fixed-effects model
2021,Women,Shade Area,0.004,-0.752,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between shade area and visits from women.",Fully adjusted fixed-effects model
2019,Women,Volleyball,0.016,-4.156,***,True,Positive,Strong,"In 2019, volleyball showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Women,Volleyball,0.015,-2.772,***,True,Positive,Strong,"In 2020, volleyball showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Women,Volleyball,0.003,-0.466,,False,No clear evidence,No clear evidence,"In 2021, the fully adjusted fixed-effects model found no clear statistical evidence of an association between volleyball and visits from women.",Fully adjusted fixed-effects model
2019,Women,Swimming Pool,-0.003,-0.949,,False,No clear evidence,No clear evidence,"In 2019, the fully adjusted fixed-effects model found no clear statistical evidence of an association between swimming pool and visits from women.",Fully adjusted fixed-effects model
2020,Women,Swimming Pool,0.004,-0.694,,False,No clear evidence,No clear evidence,"In 2020, the fully adjusted fixed-effects model found no clear statistical evidence of an association between swimming pool and visits from women.",Fully adjusted fixed-effects model
2021,Women,Swimming Pool,0.015,-2.351,**,True,Positive,Moderate,"In 2021, swimming pool showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2019,Women,Tennis,0.018,-6.062,***,True,Positive,Strong,"In 2019, tennis showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2020,Women,Tennis,0.021,-4.7,***,True,Positive,Strong,"In 2020, tennis showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
2021,Women,Tennis,0.022,-3.683,***,True,Positive,Strong,"In 2021, tennis showed a positive and statistically significant association with visits from women in the fully adjusted fixed-effects model.",Fully adjusted fixed-effects model
